"","AAGE","F_ACLSWKR","F_EDUCATION","F_STATUSMARIT","F_AMJIND","F_AMJOCC","F_RACE","F_ORIGIN","F_ASEX","F_AWKSTAT","F_FILESTATUS","F_HHDFMX","F_HHDREL","MARSUPWT","CHILDS","F_CONBIRTHFATH","F_CONBIRTHMOTH","F_PENATVTY","F_PRCITSHP","WKSWORKYEAR","TARGET"
"1",58,"Self-employed-not_incorporated","Some_college_but_no_degree","Divorced","Construction","Precision_production_craft_&_repair","White","All_other","Male","Children_or_Armed_Forces","Head_of_household","Householder","Householder",1053.55,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"2",18,"Private","10th_grade","Never_married","Not_in_universe_or_children","Professional_specialty","Asian_or_Pacific_Islander","All_other","Female","Not_in_labor_force","Nonfiler","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",991.95,0,"Vietnam","Vietnam","Vietnam","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"3",9,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1758.14,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"4",10,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1069.16,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"5",48,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Entertainment","Professional_specialty","Amer_Indian_Aleut_or_Eskimo","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",162.61,1,"Philippines","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"6",42,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Executive_admin_and_managerial","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1535.86,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"7",28,"Private","High_school_graduate","Never_married","Construction","Handlers_equip_cleaners_etc","White","All_other","Female","Unemployed_full-time","Single","Secondary_individual","Nonrelative_of_householder",898.83,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",30,"-_50000."
"8",47,"Local_government","Some_college_but_no_degree","Married-civilian_spouse_present","Education","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1661.53,5,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"9",34,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Construction","Machine_operators_assmblrs_&_inspctrs","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1146.79,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"10",8,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2466.24,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"11",32,"Private","High_school_graduate","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Not_in_labor_force","Nonfiler","Other_Rel_18+_never_marr_not_in_subfamily","Other_relative_of_householder",2021.27,0,"United-States","United-States","United-States","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"12",51,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Construction","Precision_production_craft_&_repair","White","Do_not_know","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",2441.22,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"13",46,"Private","High_school_graduate","Divorced","Business_and_repair_services","Other_service","White","Central_or_South_American","Female","Children_or_Armed_Forces","Single","Householder","Householder",978.16,6,"Columbia","Columbia","Columbia","Foreign_born-_Not_a_citizen_of_U_S",52,"-_50000."
